config_id,sweep,x_value,requested_total_steps,requested_shape,requested_fault_fraction,requested_independent_fraction,mode,repeat,total_steps,shape,fault_step,fault_fraction,independent_fraction,expected_target_count,independent_count,actual_target_count,ledger_edges,execution_ms,rollback_ms,commit_ms,host_clean_before_commit,merged_correct_after_rollback,rollback_precision,rollback_recall,independent_retention,target_removed,useful_work_lost,invalid_work_retained,false_rollback_count,missed_target_count,final_correct
5,shape,layered,32,layered,0.25,0.5,causal,2,32,layered,8,0.258065,0.59375,13,19,13,17,2135.222,237.465,2053.106,True,True,1.0,1.0,1.0,1.0,0,0,0,0,True
5,shape,layered,32,layered,0.25,0.5,temporal,0,32,layered,8,0.258065,0.59375,13,19,24,17,2192.034,230.949,1877.003,True,False,0.5416666666666666,1.0,0.42105263157894735,1.0,11,0,11,0,False
5,shape,layered,32,layered,0.25,0.5,temporal,1,32,layered,8,0.258065,0.59375,13,19,24,17,2189.032,230.797,1874.767,True,False,0.5416666666666666,1.0,0.42105263157894735,1.0,11,0,11,0,False
5,shape,layered,32,layered,0.25,0.5,temporal,2,32,layered,8,0.258065,0.59375,13,19,24,17,2170.882,230.243,1860.591,True,False,0.5416666666666666,1.0,0.42105263157894735,1.0,11,0,11,0,False
5,shape,layered,32,layered,0.25,0.5,whole_session,0,32,layered,8,0.258065,0.59375,13,19,32,17,2128.412,229.078,0.0,True,False,0.40625,1.0,0.0,1.0,19,0,19,0,False
5,shape,layered,32,layered,0.25,0.5,whole_session,1,32,layered,8,0.258065,0.59375,13,19,32,17,2315.435,231.41,0.0,True,False,0.40625,1.0,0.0,1.0,19,0,19,0,False
5,shape,layered,32,layered,0.25,0.5,whole_session,2,32,layered,8,0.258065,0.59375,13,19,32,17,2334.167,229.039,0.0,True,False,0.40625,1.0,0.0,1.0,19,0,19,0,False
5,shape,layered,32,layered,0.25,0.5,causal_without_dependencies,0,32,layered,8,0.258065,0.59375,13,19,1,0,2416.602,234.044,2059.489,True,False,1.0,0.07692307692307693,1.0,0.07692307692307687,0,12,0,12,False
5,shape,layered,32,layered,0.25,0.5,causal_without_dependencies,1,32,layered,8,0.258065,0.59375,13,19,1,0,2287.501,183.621,2063.866,True,False,1.0,0.07692307692307693,1.0,0.07692307692307687,0,12,0,12,False
5,shape,layered,32,layered,0.25,0.5,causal_without_dependencies,2,32,layered,8,0.258065,0.59375,13,19,1,0,2411.47,247.089,3141.849,True,False,1.0,0.07692307692307693,1.0,0.07692307692307687,0,12,0,12,False
6,fault_position,0.1,32,layered,0.1,0.5,causal,0,32,layered,3,0.096774,0.53125,15,17,15,20,2172.816,237.52,1969.914,True,True,1.0,1.0,1.0,1.0,0,0,0,0,True
6,fault_position,0.1,32,layered,0.1,0.5,causal,1,32,layered,3,0.096774,0.53125,15,17,15,20,2315.074,186.856,1929.563,True,True,1.0,1.0,1.0,1.0,0,0,0,0,True
6,fault_position,0.1,32,layered,0.1,0.5,causal,2,32,layered,3,0.096774,0.53125,15,17,15,20,2170.2,185.723,1919.883,True,True,1.0,1.0,1.0,1.0,0,0,0,0,True
6,fault_position,0.1,32,layered,0.1,0.5,temporal,0,32,layered,3,0.096774,0.53125,15,17,29,20,2021.996,184.788,1679.649,True,False,0.5172413793103449,1.0,0.17647058823529413,1.0,14,0,14,0,False
6,fault_position,0.1,32,layered,0.1,0.5,temporal,1,32,layered,3,0.096774,0.53125,15,17,29,20,2130.25,231.259,1744.476,True,False,0.5172413793103449,1.0,0.17647058823529413,1.0,14,0,14,0,False
6,fault_position,0.1,32,layered,0.1,0.5,temporal,2,32,layered,3,0.096774,0.53125,15,17,29,20,2207.355,229.113,1716.494,True,False,0.5172413793103449,1.0,0.17647058823529413,1.0,14,0,14,0,False
6,fault_position,0.1,32,layered,0.1,0.5,whole_session,0,32,layered,3,0.096774,0.53125,15,17,32,20,1945.564,178.672,0.0,True,False,0.46875,1.0,0.0,1.0,17,0,17,0,False
6,fault_position,0.1,32,layered,0.1,0.5,whole_session,1,32,layered,3,0.096774,0.53125,15,17,32,20,1972.219,178.148,0.0,True,False,0.46875,1.0,0.0,1.0,17,0,17,0,False
6,fault_position,0.1,32,layered,0.1,0.5,whole_session,2,32,layered,3,0.096774,0.53125,15,17,32,20,2046.245,230.902,0.001,True,False,0.46875,1.0,0.0,1.0,17,0,17,0,False
6,fault_position,0.1,32,layered,0.1,0.5,causal_without_dependencies,0,32,layered,3,0.096774,0.53125,15,17,1,0,1952.071,232.976,2026.73,True,False,1.0,0.06666666666666667,1.0,0.06666666666666665,0,14,0,14,False
6,fault_position,0.1,32,layered,0.1,0.5,causal_without_dependencies,1,32,layered,3,0.096774,0.53125,15,17,1,0,2081.277,233.355,2038.876,True,False,1.0,0.06666666666666667,1.0,0.06666666666666665,0,14,0,14,False
6,fault_position,0.1,32,layered,0.1,0.5,causal_without_dependencies,2,32,layered,3,0.096774,0.53125,15,17,1,0,1976.922,233.343,2001.051,True,False,1.0,0.06666666666666667,1.0,0.06666666666666665,0,14,0,14,False
7,fault_position,0.5,32,layered,0.5,0.5,causal,0,32,layered,16,0.516129,0.71875,9,23,9,11,2064.884,234.898,1999.243,True,True,1.0,1.0,1.0,1.0,0,0,0,0,True
7,fault_position,0.5,32,layered,0.5,0.5,causal,1,32,layered,16,0.516129,0.71875,9,23,9,11,2029.037,249.391,2047.773,True,True,1.0,1.0,1.0,1.0,0,0,0,0,True
7,fault_position,0.5,32,layered,0.5,0.5,causal,2,32,layered,16,0.516129,0.71875,9,23,9,11,2035.332,185.883,2005.152,True,True,1.0,1.0,1.0,1.0,0,0,0,0,True
7,fault_position,0.5,32,layered,0.5,0.5,temporal,0,32,layered,16,0.516129,0.71875,9,23,16,11,2097.626,179.406,1882.233,True,False,0.5625,1.0,0.6956521739130435,1.0,7,0,7,0,False
7,fault_position,0.5,32,layered,0.5,0.5,temporal,1,32,layered,16,0.516129,0.71875,9,23,16,11,2044.125,228.803,1881.615,True,False,0.5625,1.0,0.6956521739130435,1.0,7,0,7,0,False
7,fault_position,0.5,32,layered,0.5,0.5,temporal,2,32,layered,16,0.516129,0.71875,9,23,16,11,2005.372,230.058,1843.287,True,False,0.5625,1.0,0.6956521739130435,1.0,7,0,7,0,False
7,fault_position,0.5,32,layered,0.5,0.5,whole_session,0,32,layered,16,0.516129,0.71875,9,23,32,11,2062.275,229.382,0.001,True,False,0.28125,1.0,0.0,1.0,23,0,23,0,False
7,fault_position,0.5,32,layered,0.5,0.5,whole_session,1,32,layered,16,0.516129,0.71875,9,23,32,11,2032.077,228.953,0.0,True,False,0.28125,1.0,0.0,1.0,23,0,23,0,False
7,fault_position,0.5,32,layered,0.5,0.5,whole_session,2,32,layered,16,0.516129,0.71875,9,23,32,11,2008.884,229.652,0.001,True,False,0.28125,1.0,0.0,1.0,23,0,23,0,False
7,fault_position,0.5,32,layered,0.5,0.5,causal_without_dependencies,0,32,layered,16,0.516129,0.71875,9,23,1,0,2092.227,232.496,1979.096,True,False,1.0,0.1111111111111111,1.0,0.11111111111111116,0,8,0,8,False
7,fault_position,0.5,32,layered,0.5,0.5,causal_without_dependencies,1,32,layered,16,0.516129,0.71875,9,23,1,0,2063.015,232.891,1978.969,True,False,1.0,0.1111111111111111,1.0,0.11111111111111116,0,8,0,8,False
7,fault_position,0.5,32,layered,0.5,0.5,causal_without_dependencies,2,32,layered,16,0.516129,0.71875,9,23,1,0,2051.65,232.465,1955.255,True,False,1.0,0.1111111111111111,1.0,0.11111111111111116,0,8,0,8,False
8,fault_position,0.75,32,layered,0.75,0.5,causal,0,32,layered,24,0.774194,0.84375,5,27,5,5,2027.706,233.301,1947.051,True,True,1.0,1.0,1.0,1.0,0,0,0,0,True
8,fault_position,0.75,32,layered,0.75,0.5,causal,1,32,layered,24,0.774194,0.84375,5,27,5,5,1994.76,233.631,1926.152,True,True,1.0,1.0,1.0,1.0,0,0,0,0,True
8,fault_position,0.75,32,layered,0.75,0.5,causal,2,32,layered,24,0.774194,0.84375,5,27,5,5,2022.713,236.473,1943.291,True,True,1.0,1.0,1.0,1.0,0,0,0,0,True
8,fault_position,0.75,32,layered,0.75,0.5,temporal,0,32,layered,24,0.774194,0.84375,5,27,8,5,1996.293,228.222,1883.016,True,False,0.625,1.0,0.8888888888888888,1.0,3,0,3,0,False
8,fault_position,0.75,32,layered,0.75,0.5,temporal,1,32,layered,24,0.774194,0.84375,5,27,8,5,2043.238,229.267,1923.587,True,False,0.625,1.0,0.8888888888888888,1.0,3,0,3,0,False
8,fault_position,0.75,32,layered,0.75,0.5,temporal,2,32,layered,24,0.774194,0.84375,5,27,8,5,1936.737,228.216,1909.766,True,False,0.625,1.0,0.8888888888888888,1.0,3,0,3,0,False
8,fault_position,0.75,32,layered,0.75,0.5,whole_session,0,32,layered,24,0.774194,0.84375,5,27,32,5,2015.768,229.427,0.0,True,False,0.15625,1.0,0.0,1.0,27,0,27,0,False
8,fault_position,0.75,32,layered,0.75,0.5,whole_session,1,32,layered,24,0.774194,0.84375,5,27,32,5,1986.9,229.461,0.001,True,False,0.15625,1.0,0.0,1.0,27,0,27,0,False
