suite,task,official_group,scale,difficulty,category,version,mode,harness_backend,model,repeats,paired_success_repeats,usage_sources,success_rate,success_tokens_mean,success_prompt_tokens_mean,success_completion_tokens_mean,avoided_tokens_mean,total_tokens_mean,total_tokens_p50,total_tokens_p95,total_tokens_p99,recovery_wall_s_p50,recovery_wall_s_p95
swe,django__django-12284,django/django,short,,django/django,3.1,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.20316,12.20316
swe,django__django-12284,django/django,short,,django/django,3.1,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.327005,12.327005
swe,django__django-12286,django/django,short,,django/django,3.1,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.53237,98.53237
swe,django__django-12286,django/django,short,,django/django,3.1,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7414,11.7414
swe,django__django-12286,django/django,short,,django/django,3.1,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.235906,12.235906
swe,django__django-12308,django/django,short,,django/django,3.1,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.70541,72.70541
swe,django__django-12308,django/django,short,,django/django,3.1,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.096431,12.096431
swe,django__django-12308,django/django,short,,django/django,3.1,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.051328,12.051328
swe,django__django-12453,django/django,medium,,django/django,3.1,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.452714,76.452714
swe,django__django-12453,django/django,medium,,django/django,3.1,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.041555,12.041555
swe,django__django-12453,django/django,medium,,django/django,3.1,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.471001,12.471001
swe,django__django-12470,django/django,short,,django/django,3.1,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.843904,106.843904
swe,django__django-12470,django/django,short,,django/django,3.1,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.41414,12.41414
swe,django__django-12470,django/django,short,,django/django,3.1,whole_branch_abort,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.294501,12.294501
swe,django__django-12497,django/django,short,,django/django,3.1,causal,oracle,oracle,1,1,oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.034461,102.034461
swe,django__django-12497,django/django,short,,django/django,3.1,temporal_checkpoint,oracle,oracle,1,0,oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.078879,12.078879
